purchase_date,member_id,store,category,product,qty,amount,transaction_id
2024-02-11,M040,summit,snacks,cookies,1,280,T20240211002
2024-02-12,M001,summit,groceries,bread,2,500,T20240212001
2024-02-12,M001,summit,groceries,butter,1,380,T20240212001
2024-02-13,M041,tomods,cosmetics,face_wash,1,890,T20240213001
2024-02-13,M042,summit,beverages,soda,3,450,T20240213002
2024-02-14,M005,summit,groceries,chocolate,5,900,T20240214001
2024-02-14,M005,summit,snacks,cookies,2,560,T20240214001
2024-02-14,M043,tomods,cosmetics,perfume,1,4500,T20240214002
2024-02-14,M044,summit,groceries,flowers,1,1500,T20240214003
2024-02-15,M045,summit,groceries,rice,1,1980,T20240215001
2024-02-15,M046,tomods,pharmacy,cold_medicine,1,980,T20240215002
2024-02-16,M006,summit,snacks,chips,1,180,T20240216001
2024-02-16,M006,summit,beverages,coffee,1,890,T20240216001
2024-02-17,M047,tomods,cosmetics,shampoo,1,680,T20240217001
2024-02-17,M047,tomods,cosmetics,conditioner,1,720,T20240217001
2024-02-18,M015,summit,groceries,milk,1,190,T20240218001
2024-02-18,M048,summit,snacks,chocolate,1,180,T20240218002
2024-02-19,M049,tomods,pharmacy,bandages,1,450,T20240219001
2024-02-19,M050,summit,beverages,tea,2,480,T20240219002
2024-02-20,M008,summit,groceries,eggs,1,320,T20240220001
2024-02-20,M008,summit,groceries,vegetables,2,300,T20240220001
2024-02-21,M051,tomods,cosmetics,face_cream,1,2800,T20240221001
2024-02-21,M052,summit,groceries,bread,1,250,T20240221002
2024-02-22,M016,summit,snacks,cookies,1,280,T20240222001
2024-02-22,M053,tomods,pharmacy,vitamins,2,3000,T20240222002
2024-02-23,M054,summit,beverages,orange_juice,1,240,T20240223001
2024-02-23,M055,summit,groceries,yogurt,2,420,T20240223002
2024-02-24,M001,tomods,cosmetics,sunscreen,1,1580,T20240224001
2024-02-24,M056,summit,snacks,chips,2,360,T20240224002
2024-02-25,M057,summit,groceries,rice,1,1980,T20240225001
2024-02-25,M057,summit,groceries,noodles,2,480,T20240225001
2024-02-26,M011,tomods,cosmetics,mascara,1,980,T20240226001
2024-02-26,M058,summit,beverages,coffee,1,890,T20240226002
2024-02-27,M003,summit,groceries,milk,2,380,T20240227001
2024-02-27,M003,summit,groceries,bread,1,250,T20240227001
2024-02-28,M059,tomods,pharmacy,pain_relief,2,1560,T20240228001
2024-02-28,M060,summit,snacks,chocolate,1,180,T20240228002
2024-02-29,M061,summit,groceries,eggs,1,320,T20240229001
2024-02-29,M061,summit,beverages,tea,1,240,T20240229001
2024-03-01,M002,tomods,cosmetics,lipstick,1,1200,T20240301001
2024-03-01,M062,summit,groceries,vegetables,3,450,T20240301002
2024-03-02,M063,summit,snacks,cookies,2,560,T20240302001
2024-03-02,M064,tomods,pharmacy,cold_medicine,1,980,T20240302002
2024-03-03,M009,summit,groceries,rice,1,1980,T20240303001
2024-03-03,M009,summit,beverages,soda,2,300,T20240303001
2024-03-04,M065,tomods,cosmetics,face_wash,1,890,T20240304001
2024-03-04,M065,tomods,cosmetics,toner,1,1280,T20240304001
2024-03-05,M001,summit,groceries,milk,1,190,T20240305001
2024-03-05,M001,summit,snacks,chips,1,180,T20240305001
2024-03-06,M066,tomods,pharmacy,vitamins,1,1500,T20240306001
2024-03-06,M067,summit,beverages,coffee,2,1780,T20240306002
2024-03-07,M010,summit,groceries,bread,2,500,T20240307001
2024-03-07,M068,tomods,cosmetics,shampoo,1,680,T20240307002
2024-03-08,M069,summit,snacks,chocolate,2,360,T20240308001
2024-03-08,M070,summit,groceries,eggs,1,320,T20240308002
2024-03-09,M004,tomods,pharmacy,bandages,1,450,T20240309001
2024-03-09,M071,summit,beverages,orange_juice,2,480,T20240309002
2024-03-10,M072,summit,groceries,vegetables,2,300,T20240310001
2024-03-10,M073,tomods,cosmetics,perfume,1,4500,T20240310002
2024-03-11,M007,summit,groceries,rice,1,1980,T20240311001
2024-03-11,M007,summit,groceries,noodles,1,240,T20240311001
2024-03-12,M074,tomods,pharmacy,pain_relief,1,780,T20240312001
2024-03-12,M075,summit,snacks,cookies,1,280,T20240312002
2024-03-13,M003,summit,beverages,tea,2,480,T20240313001
2024-03-13,M076,tomods,cosmetics,face_cream,1,2800,T20240313002
2024-03-14,M077,summit,groceries,milk,2,380,T20240314001
2024-03-14,M077,summit,groceries,butter,1,380,T20240314001
2024-03-15,M078,tomods,pharmacy,vitamins,1,1500,T20240315001
2024-03-15,M079,summit,snacks,chips,2,360,T20240315002
